batter,name,pa,k_pct,bb_pct,chase_pct,whiff_pct,barrel_pct,kmeans_label,gmm_label,dbscan_label,archetype
573262,Mike Yastrzemski,225,24.444444444444443,9.333333333333334,26.338329764453963,21.37404580152672,4.1,0,0,0,contact
804606,Konnor Griffin,224,25.892857142857142,6.25,38.03131991051454,29.792147806004618,8.2,1,1,0,power
670764,Taylor Walls,224,24.553571428571427,11.607142857142858,24.458874458874455,19.74025974025974,3.5,0,0,0,contact
592663,J. T. Realmuto,223,19.282511210762333,7.623318385650224,32.5635103926097,23.26732673267327,5.1,0,0,0,contact
666152,David Hamilton,223,22.42152466367713,9.417040358744394,30.63063063063063,19.09547738693467,4.0,0,0,0,contact
592885,Christian Yelich,220,28.63636363636364,8.636363636363637,23.16017316017316,30.86124401913876,6.8,1,1,0,power
686527,Dominic Canzone,220,20.90909090909091,9.090909090909092,33.55555555555556,26.666666666666668,16.0,1,1,0,power
666397,Edouard Julien,220,26.363636363636363,13.181818181818182,19.60352422907489,22.015915119363395,6.8,1,0,0,power
657041,Lane Thomas,219,21.91780821917808,13.6986301369863,20.0,17.119565217391305,4.3,0,0,0,contact
608369,Corey Seager,219,26.940639269406397,11.872146118721462,28.571428571428573,31.25,15.4,1,1,0,power
605141,Mookie Betts,218,12.844036697247706,6.8807339449541285,19.35483870967742,11.607142857142858,8.7,0,0,0,contact
608348,Carson Kelly,218,16.05504587155963,10.55045871559633,27.640449438202246,19.849246231155774,6.4,0,0,0,contact
553993,Eugenio Suárez,217,33.17972350230415,7.834101382488479,31.45336225596529,32.02933985330073,7.1,1,1,0,power
609280,Miguel Andújar,217,15.66820276497696,3.225806451612903,40.67796610169491,17.201834862385322,4.7,0,0,0,contact
805779,Jacob Wilson,215,11.627906976744184,4.651162790697675,40.58355437665782,13.49397590361446,1.7,0,0,0,contact
671289,Tyler Freeman,215,13.023255813953488,4.186046511627907,30.17902813299233,11.290322580645162,1.2,0,0,0,contact
701675,Nathan Church,210,21.428571428571427,5.238095238095238,44.65558194774347,21.72949002217295,8.6,0,1,0,contact
694728,Brice Matthews,209,32.53588516746412,6.220095693779904,25.57603686635945,34.77157360406091,8.7,1,1,0,power
650859,Luis Rengifo,209,11.483253588516746,8.61244019138756,30.58823529411765,16.836734693877553,4.8,0,0,0,contact
681297,Colton Cowser,209,28.708133971291865,11.483253588516746,28.661087866108787,31.632653061224488,12.1,1,1,0,power
606192,Teoscar Hernández,209,27.751196172248804,8.61244019138756,25.83518930957684,26.89295039164491,10.8,1,1,0,power
668904,Royce Lewis,209,27.272727272727277,8.61244019138756,33.64055299539171,31.64556962025317,12.1,1,1,0,power
666126,Carlos Cortes,209,11.483253588516746,10.047846889952153,23.883928571428573,17.962466487935657,8.1,0,0,0,contact
