batter,name,primary_slot,games_started,slot_share,g_slot1,g_slot2,g_slot3,g_slot4,g_slot5,g_slot6,g_slot7,g_slot8,g_slot9
669236,Jeremiah Jackson,9,51,0.45098039215686275,0,0,0,0,2,7,7,12,23
608348,Carson Kelly,7,51,0.37254901960784315,0,0,0,5,6,9,19,10,2
502671,Paul Goldschmidt,1,51,0.4117647058823529,21,2,10,6,6,6,0,0,0
805779,Jacob Wilson,5,50,0.58,9,1,2,4,29,5,0,0,0
671732,Lawrence Butler,6,50,0.32,5,0,0,0,0,16,14,13,2
694728,Brice Matthews,8,50,0.38,5,0,0,0,0,5,9,19,12
691594,Javier Sanoja,9,50,0.58,0,0,0,0,5,3,2,11,29
682626,Francisco Álvarez,9,50,0.3,0,0,5,2,7,9,3,9,15
608369,Corey Seager,3,50,0.76,0,12,38,0,0,0,0,0,0
681481,Kerry Carpenter,6,49,0.3673469387755102,5,1,9,9,6,18,1,0,0
666126,Carlos Cortes,1,49,0.2857142857142857,14,2,6,2,11,6,1,4,3
694192,Jackson Chourio,2,48,0.5625,21,27,0,0,0,0,0,0,0
680700,Richie Palacios,5,48,0.2916666666666667,0,0,3,3,14,7,9,5,7
657656,Ramón Laureano,1,48,0.4791666666666667,23,1,0,0,2,7,8,7,0
678554,Curtis Mead,3,48,0.5,0,23,24,0,0,1,0,0,0
657041,Lane Thomas,1,47,0.2127659574468085,10,1,6,7,4,10,2,7,0
592885,Christian Yelich,1,47,0.5531914893617021,26,0,10,11,0,0,0,0,0
687551,Drew Gilbert,8,47,0.6170212765957447,0,0,0,0,0,0,3,29,15
543877,Christian Vázquez,9,47,0.7872340425531915,0,0,0,0,0,0,3,7,37
667670,Brent Rooker,4,47,0.7872340425531915,0,3,4,37,3,0,0,0,0
694208,Moisés Ballesteros,7,47,0.3829787234042553,0,14,0,0,2,11,18,2,0
650859,Luis Rengifo,6,47,0.2765957446808511,1,4,2,1,6,13,10,10,0
696030,Alejandro Osuna,7,46,0.34782608695652173,0,4,0,1,0,13,16,7,5
671289,Tyler Freeman,2,46,0.5,2,23,3,9,6,2,1,0,0
669257,Will Smith,3,46,0.43478260869565216,1,2,20,2,12,3,6,0,0
680779,Henry Davis,9,46,0.9565217391304348,0,0,0,0,0,0,0,2,44
669707,Jared Triolo,8,46,0.391304347826087,2,0,0,0,1,2,5,18,18
642086,Dominic Smith,7,46,0.391304347826087,0,0,0,3,12,6,18,7,0
664034,Ty France,7,46,0.5217391304347826,0,0,3,2,5,5,24,7,0
663743,Nick Fortes,8,46,0.5869565217391305,0,0,0,0,1,3,10,27,5
663968,Jake Mangum,8,45,0.4,7,0,0,0,0,1,12,18,7
810938,Ben Williamson,6,45,0.4888888888888889,0,0,1,0,8,22,11,2,1
665966,Carlos Narváez,8,45,0.6666666666666666,0,0,0,0,0,0,5,30,10
665161,Jeremy Peña,1,45,0.9555555555555556,43,1,1,0,0,0,0,0,0
671218,Heliot Ramos,7,45,0.28888888888888886,5,0,8,3,10,6,13,0,0
678391,Jorbit Vivas,7,45,0.4222222222222222,0,0,0,0,2,7,19,17,0
678218,Brandon Valenzuela,9,44,0.6136363636363636,0,0,0,1,1,6,0,9,27
670770,Tj Friedl,1,44,0.7954545454545454,35,0,0,0,0,0,0,4,5
666023,Freddy Fermin,9,44,0.5227272727272727,0,0,0,0,0,1,0,20,23
656484,Tristan Gray,8,44,0.5227272727272727,0,0,0,0,0,0,4,23,17
650402,Gleyber Torres,2,43,0.6046511627906976,10,26,7,0,0,0,0,0,0
805999,A. J. Ewing,5,42,0.3333333333333333,0,1,1,1,14,11,6,8,0
672761,Wenceel Pérez,8,42,0.30952380952380953,0,1,0,0,1,12,11,13,4
699912,Jose Fernandez,8,42,0.2857142857142857,0,0,1,3,6,9,11,12,0
664770,Nathan Lukes,2,42,0.4523809523809524,10,19,0,0,1,9,2,0,1
666160,Mickey Moniak,2,42,0.6666666666666666,2,28,7,0,2,2,0,0,1
687221,Dalton Rushing,8,42,0.47619047619047616,2,0,0,0,0,5,10,20,5
691777,Max Muncy,7,41,0.6097560975609756,0,0,0,0,6,4,25,4,2
686780,Pedro Pagés,8,41,0.8048780487804879,0,0,0,0,0,0,0,33,8
666139,Josh Lowe,7,41,0.6585365853658537,0,0,0,0,0,4,27,5,5
596115,Trevor Story,5,41,0.3170731707317073,0,9,0,10,13,9,0,0,0
620443,Luis Torrens,9,41,0.8780487804878049,0,0,0,0,0,0,0,5,36
682668,Luisangel Acuña,9,41,0.4878048780487805,0,0,0,0,0,0,6,15,20
805811,Bryce Eldridge,7,41,0.3170731707317073,0,12,1,0,3,11,13,1,0
687093,Vaughn Grissom,3,40,0.35,3,2,14,4,7,2,8,0,0
681715,Heriberto Hernandez,5,40,0.35,3,0,3,5,14,5,5,2,3
694671,Wyatt Langford,2,40,0.5,7,20,9,1,3,0,0,0,0
680728,Adrian Del Castillo,4,40,0.5,0,0,0,20,10,2,2,6,0
700337,Edgar Quero,5,40,0.325,0,0,0,3,13,5,7,6,6
807799,Masataka Yoshida,5,40,0.325,5,3,8,5,13,4,2,0,0
691788,Joe Mack,8,40,0.525,0,0,0,0,0,0,5,21,14
543309,Kyle Higashioka,8,40,0.35,0,0,0,0,2,4,8,14,12
669004,Mj Melendez,8,39,0.4358974358974359,0,0,7,1,9,2,2,17,1
679845,Nick Loftin,8,39,0.5128205128205128,1,3,0,0,4,4,5,20,2
677588,José Tena,7,39,0.3333333333333333,0,0,10,0,2,4,13,9,1
691781,Brady House,3,38,0.7105263157894737,0,1,27,5,3,2,0,0,0
703607,Henry Bolte,6,38,0.2631578947368421,8,0,0,0,4,10,7,8,1
624641,Edmundo Sosa,5,38,0.23684210526315788,0,0,0,1,9,6,7,6,9
641933,Tyler O'Neill,5,38,0.42105263157894735,0,0,0,2,16,8,8,3,1
663647,Ke'Bryan Hayes,9,37,0.972972972972973,0,0,0,0,0,0,0,1,36
665804,Miguel Amaya,8,37,0.4594594594594595,0,0,0,0,1,0,5,17,14
682818,Yohendrick Pinango,2,37,0.1891891891891892,3,7,1,5,6,3,4,6,2
642708,Amed Rosario,5,36,0.2777777777777778,5,3,4,4,10,7,2,1,0
686452,Drew Millas,8,36,0.7222222222222222,0,1,0,0,0,1,0,26,8
643376,Danny Jansen,8,36,0.3888888888888889,0,0,0,0,1,3,7,14,11
687231,Darell Hernaiz,9,36,0.5277777777777778,0,0,0,0,2,0,3,12,19
666971,Lourdes Gurriel,6,36,0.3611111111111111,0,0,0,7,10,13,6,0,0
701678,Hao-Yu Lee,8,36,0.5277777777777778,0,0,1,0,1,1,6,19,8
808975,Hyeseong Kim,8,36,0.5555555555555556,0,0,0,0,0,0,2,20,14
806068,Colt Emerson,9,36,0.7222222222222222,0,0,0,0,0,1,3,6,26
