batter,name,team,pa,avg,obp,p_1b,p_2b,p_3b,p_hr,p_bb,p_k,p_dp,p_out,p_sf,p_sh,sb_rate,cs_rate
676391,Ernie Clement,Toronto,335,0.299,0.322,0.19701492537313434,0.06567164179104477,0.0029850746268656717,0.020895522388059702,0.03582089552238821,0.10149253731343283,0.014925373134328358,0.5552238805970149,0.005970149253731343,0.0,0.02564102564102564,0.01282051282051282
545361,Mike Trout,Los Angeles,335,0.234,0.394,0.09850746268656717,0.03582089552238806,0.0,0.050746268656716415,0.20895522388059695,0.24776119402985075,0.014925373134328358,0.34328358208955223,0.0,0.0,0.06796116504854369,0.0
668227,Randy Arozarena,Seattle,335,0.283,0.37,0.1582089552238806,0.05970149253731343,0.0029850746268656717,0.023880597014925373,0.12537313432835817,0.22388059701492538,0.023880597014925373,0.373134328358209,0.008955223880597015,0.0,0.2,0.042105263157894736
691016,Tyler Soderstrom,Athletics,335,0.242,0.343,0.1044776119402985,0.05970149253731343,0.005970149253731343,0.03880597014925373,0.13432835820895528,0.1761194029850746,0.020895522388059702,0.45671641791044776,0.0029850746268656717,0.0,0.0125,0.0125
693307,Dillon Dingler,Detroit,334,0.267,0.328,0.12275449101796407,0.05389221556886228,0.005988023952095809,0.05688622754491018,0.09281437125748504,0.20958083832335328,0.02694610778443114,0.4221556886227545,0.008982035928143712,0.0,0.0,0.0
686797,Brooks Lee,Minnesota,334,0.251,0.306,0.1467065868263473,0.03592814371257485,0.005988023952095809,0.041916167664670656,0.0748502994011977,0.15568862275449102,0.011976047904191617,0.5209580838323353,0.0029940119760479044,0.0029940119760479044,0.06756756756756757,0.04054054054054054
664761,Alec Bohm,Philadelphia,330,0.223,0.279,0.1393939393939394,0.03333333333333333,0.0,0.030303030303030304,0.0757575757575758,0.14545454545454545,0.03333333333333333,0.5303030303030303,0.012121212121212121,0.0,0.014084507042253521,0.0
621439,Byron Buxton,Minnesota,329,0.268,0.325,0.12158054711246201,0.04559270516717325,0.00303951367781155,0.07598784194528875,0.07902735562310037,0.24620060790273557,0.0060790273556231,0.4194528875379939,0.00303951367781155,0.0,0.10606060606060606,0.0
693304,Nick Gonzales,Pittsburgh,328,0.3,0.357,0.22865853658536586,0.03353658536585366,0.003048780487804878,0.009146341463414634,0.08231707317073167,0.18597560975609756,0.027439024390243903,0.4268292682926829,0.003048780487804878,0.0,0.0392156862745098,0.0196078431372549
701358,Cam Smith,Houston,328,0.223,0.297,0.12195121951219512,0.039634146341463415,0.003048780487804878,0.03353658536585366,0.10060975609756095,0.2530487804878049,0.021341463414634148,0.4176829268292683,0.009146341463414634,0.0,0.125,0.013888888888888888
669477,Casey Schmitt,San Francisco,326,0.278,0.304,0.1656441717791411,0.046012269938650305,0.003067484662576687,0.049079754601226995,0.03987730061349681,0.19325153374233128,0.015337423312883436,0.4754601226993865,0.012269938650306749,0.0,0.1044776119402985,0.014925373134328358
665862,Jazz Chisholm Jr.,New York,326,0.225,0.307,0.12269938650306748,0.03374233128834356,0.006134969325153374,0.03680981595092025,0.1073619631901841,0.2883435582822086,0.006134969325153374,0.39263803680981596,0.006134969325153374,0.0,0.3466666666666667,0.05333333333333334
621020,Dansby Swanson,Chicago,324,0.21,0.3,0.09567901234567901,0.030864197530864196,0.006172839506172839,0.04938271604938271,0.11728395061728403,0.2345679012345679,0.009259259259259259,0.44135802469135804,0.012345679012345678,0.0030864197530864196,0.14492753623188406,0.0
669016,Brandon Marsh,Philadelphia,324,0.319,0.352,0.2006172839506173,0.046296296296296294,0.006172839506172839,0.046296296296296294,0.052469135802469036,0.2623456790123457,0.006172839506172839,0.37037037037037035,0.009259259259259259,0.0,0.0975609756097561,0.036585365853658534
678882,Ceddanne Rafaela,Boston,324,0.282,0.331,0.1728395061728395,0.05864197530864197,0.009259259259259259,0.021604938271604937,0.06790123456790131,0.19753086419753085,0.024691358024691357,0.4444444444444444,0.0,0.0030864197530864196,0.1282051282051282,0.07692307692307693
643289,Mauricio Dubón,Atlanta,323,0.265,0.318,0.1609907120743034,0.05263157894736842,0.006191950464396285,0.02476780185758514,0.07430340557275539,0.1393188854489164,0.01238390092879257,0.5263157894736842,0.0,0.0030959752321981426,0.02666666666666667,0.02666666666666667
807712,Luke Keaschall,Minnesota,321,0.246,0.333,0.16510903426791276,0.037383177570093455,0.003115264797507788,0.009345794392523364,0.11838006230529596,0.1557632398753894,0.012461059190031152,0.48909657320872274,0.009345794392523364,0.0,0.13186813186813187,0.03296703296703297
593428,Xander Bogaerts,San Diego,321,0.232,0.324,0.16199376947040497,0.01557632398753894,0.0,0.024922118380062305,0.12149532710280375,0.17757009345794392,0.009345794392523364,0.48286604361370716,0.006230529595015576,0.0,0.10989010989010989,0.01098901098901099
802415,Chandler Simpson,Tampa Bay,320,0.271,0.311,0.2125,0.025,0.0125,0.0,0.05625000000000002,0.1,0.009375,0.5625,0.00625,0.015625,0.22093023255813954,0.12790697674418605
